Model	Tumor Type	Treatment	Volume (mm3)	body weight (g)	Days Post T0	% TVol Difference	% BW Difference
X-1787	NSCLC	paclitaxel	534.4	25.5	77	107.3	25.6
X-1787	NSCLC	paclitaxel	860.5	25.7	80	233.8	26.6
X-1787	NSCLC	paclitaxel	558.3	26	84	116.6	28.1
X-1787	NSCLC	paclitaxel	1153.4	26.4	91	347.4	30
X-1787	NSCLC	paclitaxel	1517.6	26.2	92	488.7	29.1
X-1787	NSCLC	untreated	259.5	24.5	0	0	0
X-1787	NSCLC	untreated	483.7	23.4	3	86.4	-4.5
X-1787	NSCLC	untreated	487.6	24.2	6	87.9	-1.2
X-1787	NSCLC	untreated	765.2	24.6	10	194.9	0.4
X-1787	NSCLC	untreated	957.4	25.3	13	268.9	3.3
X-1787	NSCLC	untreated	1095.7	26.1	17	322.2	6.5
X-1787	NSCLC	untreated	1874.6	26.8	20	622.4	9.4
X-1787	NSCLC	LFW527 + binimetinib	265.93	24.3	0	0	0
X-1787	NSCLC	LFW527 + binimetinib	398.83	24.1	3	50	-0.8
X-1787	NSCLC	LFW527 + binimetinib	335.99	24.9	6	26.3	2.5
X-1787	NSCLC	LFW527 + binimetinib	426.77	25.1	10	60.5	3.3
X-1787	NSCLC	LFW527 + binimetinib	355.56	26.2	13	33.7	7.8
X-1787	NSCLC	LFW527 + binimetinib	485.01	25.6	17	82.4	5.3
X-1787	NSCLC	LFW527 + binimetinib	336.54	25.2	20	26.6	3.7
X-1787	NSCLC	LFW527 + binimetinib	464.08	26.2	24	74.5	7.8
X-1787	NSCLC	LFW527 + binimetinib	351.96	25.8	27	32.4	6.2
X-1787	NSCLC	LFW527 + binimetinib	412.69	25.5	31	55.2	4.9
X-1787	NSCLC	LFW527 + binimetinib	420.88	25.3	34	58.3	4.1
X-1787	NSCLC	LFW527 + binimetinib	1000.68	25.4	39	276.3	4.5
X-1795	NSCLC	LFW527 + binimetinib	191.13	22.8	0	0	0
X-1795	NSCLC	LFW527 + binimetinib	235.95	23.7	4	23.5	3.9
X-1795	NSCLC	LFW527 + binimetinib	263.02	24	7	37.6	5.3
X-1795	NSCLC	LFW527 + binimetinib	324.32	24.6	11	69.7	7.9
X-1795	NSCLC	LFW527 + binimetinib	405.13	24.9	14	112	9.2
X-1795	NSCLC	LFW527 + binimetinib	553.26	25.7	18	189.5	12.7
X-1795	NSCLC	LFW527 + binimetinib	453.54	25.6	21	137.3	12.3
X-1795	NSCLC	LFW527 + binimetinib	799.7	25.6	25	318.4	12.3
X-1795	NSCLC	LFW527 + binimetinib	916.79	25	26	379.7	9.6
X-1823	NSCLC	BGJ398	155.9	22.9	0	0	0
X-1823	NSCLC	BGJ398	190	22.5	1	21.9	-1.7
X-1823	NSCLC	BGJ398	275	22.1	5	76.4	-3.5
X-1823	NSCLC	BGJ398	356.7	22.6	12	128.8	-1.3
X-1823	NSCLC	BGJ398	409.3	21.2	15	162.5	-7.4
X-1823	NSCLC	BGJ398	493.3	21.4	21	216.4	-6.6
X-1823	NSCLC	BGJ398	570.3	21.9	26	265.8	-4.4
X-1823	NSCLC	BKM120 + binimetinib	141.2	24.8	0	0	0
X-1823	NSCLC	BKM120 + binimetinib	157.8	24.3	1	11.8	-2
X-1823	NSCLC	BKM120 + binimetinib	172.2	25.4	5	22	2.4
X-1823	NSCLC	BKM120 + binimetinib	215.3	26.4	12	52.5	6.5
X-1823	NSCLC	BKM120 + binimetinib	232.9	25.1	15	64.9	1.2
X-1823	NSCLC	BKM120 + binimetinib	309.8	26.5	21	119.4	6.9
X-1823	NSCLC	BKM120 + binimetinib	288.5	26.6	26	104.3	7.3
X-1823	NSCLC	BKM120 + binimetinib	291.5	26.3	34	106.4	6
X-1823	NSCLC	BKM120 + binimetinib	359.8	27.6	40	154.8	11.3
X-1823	NSCLC	BKM120 + binimetinib	613	26.9	47	334.1	8.5
X-1823	NSCLC	BKM120 + binimetinib	634.8	26.3	50	349.6	6
X-1823	NSCLC	BKM120 + binimetinib	598	28.1	53	323.5	13.3
X-1823	NSCLC	BKM120	157.9	27	0	0	0
X-1823	NSCLC	BKM120	195.5	26.3	1	23.8	-2.6
X-1823	NSCLC	BKM120	269.6	27.7	5	70.7	2.6
X-1823	NSCLC	BKM120	767.7	28	12	386.2	3.7
X-1823	NSCLC	BYL719 + LJM716	113.3	21	0	0	0
X-1823	NSCLC	BYL719 + LJM716	142	21.8	1	25.3	3.8
X-1823	NSCLC	BYL719 + LJM716	129.1	21.2	5	13.9	1
X-1823	NSCLC	BYL719 + LJM716	210.7	22.6	12	86	7.6
X-1823	NSCLC	BYL719 + LJM716	235.5	21.6	15	107.9	2.9
X-1823	NSCLC	BYL719 + LJM716	369.4	23.4	21	226	11.4
X-1823	NSCLC	BYL719 + LJM716	422.4	23.2	26	272.8	10.5
X-1823	NSCLC	BYL719 + LJM716	504.6	23.1	34	345.4	10
X-1823	NSCLC	BYL719 + LJM716	961.2	23.4	40	748.4	11.4
X-1823	NSCLC	BYL719	137.4	23.3	0	0	0
X-1823	NSCLC	BYL719	247.2	22.1	1	79.9	-5.2
X-1823	NSCLC	BYL719	242.3	22.3	5	76.3	-4.3
X-1823	NSCLC	BYL719	386.6	22.5	12	181.4	-3.4
X-1823	NSCLC	BYL719	356.3	21.1	15	159.3	-9.4
X-1823	NSCLC	BYL719	246.3	21.6	21	79.3	-7.3
X-1823	NSCLC	BYL719	125.5	20.8	26	-8.7	-10.7
X-1823	NSCLC	BYL719	86.5	19.7	34	-37	-15.5
X-1823	NSCLC	BYL719	41.1	19.3	40	-70.1	-17.2
X-1823	NSCLC	BYL719 + LGH447	124.1	24.4	0	0	0
X-1823	NSCLC	BYL719 + LGH447	136	23.6	1	9.6	-3.3
X-1823	NSCLC	BYL719 + LGH447	174.3	20.7	5	40.5	-15.2
X-1823	NSCLC	BYL719 + LGH447	219.1	19	12	76.6	-22.1
X-1823	NSCLC	CGM097	142.5	24.2	0	0	0
X-1823	NSCLC	CGM097	175.3	24.1	2	23	-0.4
X-1823	NSCLC	CGM097	218.9	23.8	4	53.6	-1.7
X-1823	NSCLC	CGM097	441.8	24.4	8	210	0.8
X-1823	NSCLC	CGM097	628.8	23.8	15	341.3	-1.7
X-1823	NSCLC	CKX620	156.2	25.8	0	0	0
X-1823	NSCLC	CKX620	225.3	26.8	5	44.2	3.9
X-1823	NSCLC	CKX620	311.2	26.8	7	99.2	3.9
X-1823	NSCLC	CKX620	325	27.3	11	108.1	5.8
X-1823	NSCLC	CKX620	370.7	25.9	18	137.3	0.4
X-1823	NSCLC	CKX620	395.3	25.6	21	153.1	-0.8
X-1823	NSCLC	CKX620	301.1	23.4	27	92.8	-9.3
X-1823	NSCLC	CKX620	352.7	24.2	32	125.8	-6.2
X-1823	NSCLC	CKX620	573.4	24.1	40	267.1	-6.6
X-1823	NSCLC	CKX620	568.4	21	46	263.9	-18.6
X-1823	NSCLC	CLR457	162.9	26.1	0	0	0
X-1823	NSCLC	CLR457	187	25.3	2	14.8	-3.1
X-1823	NSCLC	CLR457	168.5	25.5	4	3.4	-2.3
X-1823	NSCLC	CLR457	219.7	26.3	8	34.9	0.8
X-1823	NSCLC	CLR457	360.9	26.5	15	121.5	1.5
X-1823	NSCLC	CLR457	370.6	26.4	18	127.5	1.1
X-1823	NSCLC	CLR457	570.8	27	24	250.4	3.4
X-1823	NSCLC	CLR457	600.1	27.1	29	268.4	3.8
X-1823	NSCLC	CLR457	819.6	27.3	37	403.1	4.6
X-1823	NSCLC	HDM201	150.8	24.1	0	0	0
X-1823	NSCLC	HDM201	454.1	23.4	6	201.1	-2.9
X-1823	NSCLC	HDM201	364.5	22.5	7	141.7	-6.6
X-1823	NSCLC	HDM201	445.3	22.6	9	195.3	-6.2
X-1823	NSCLC	HDM201	466.3	23.1	13	209.2	-4.1
X-1823	NSCLC	HDM201	640	23.1	20	324.4	-4.1
X-1823	NSCLC	cetuximab	183	25.4	0	0	0
X-1823	NSCLC	cetuximab	192.9	25.5	2	5.4	0.4
X-1823	NSCLC	cetuximab	224.8	25.3	4	22.8	-0.4
X-1823	NSCLC	cetuximab	263.1	26.6	8	43.8	4.7
X-1823	NSCLC	cetuximab	414.2	27.1	15	126.3	6.7
X-1823	NSCLC	cetuximab	421	27.2	18	130.1	7.1
X-1823	NSCLC	cetuximab	670.3	27.4	24	266.3	7.9
X-1823	NSCLC	cetuximab	1080.5	27.3	29	490.4	7.5
X-1823	NSCLC	erlotinib	178.4	24.4	0	0	0
X-1823	NSCLC	erlotinib	209.5	24	4	17.4	-1.6
X-1823	NSCLC	erlotinib	340.9	21.4	11	91.1	-12.3
X-1823	NSCLC	erlotinib	531.5	21.2	14	197.9	-13.1
X-1823	NSCLC	erlotinib	1109.6	20.5	20	522	-16
X-1823	NSCLC	erlotinib	2317.5	24.2	25	1199	-0.8
X-1823	NSCLC	HSP990	215.6	26	0	0	0
X-1823	NSCLC	HSP990	271.5	26.7	5	25.9	2.7
X-1823	NSCLC	HSP990	389.4	27.4	7	80.6	5.4
X-1823	NSCLC	HSP990	546.3	27.3	11	153.4	5
X-1823	NSCLC	HSP990	636.7	21.2	18	195.3	-18.5
X-1823	NSCLC	INC280	147.4	24.4	0	0	0
X-1823	NSCLC	INC280	180.5	23.2	2	22.5	-4.9
X-1823	NSCLC	INC280	263.8	23.3	4	79	-4.5
X-1823	NSCLC	INC280	374.6	23.5	8	154.1	-3.7
X-1823	NSCLC	INC280	762.2	24.6	15	417.1	0.8
X-1823	NSCLC	LCL161 + paclitaxel	243.6	26	0	0	0
X-1823	NSCLC	LCL161 + paclitaxel	440.4	24.7	5	80.8	-5
X-1823	NSCLC	LCL161 + paclitaxel	567.6	24.6	7	133	-5.4
X-1823	NSCLC	LCL161 + paclitaxel	983.2	25.3	11	303.6	-2.7
X-1823	NSCLC	LEE011	156.5	24.1	0	0	0
X-1823	NSCLC	LEE011	154	24.6	2	-1.6	2.1
X-1823	NSCLC	LEE011	259.2	26.8	7	65.6	11.2
X-1823	NSCLC	LEE011	265.5	26.8	9	69.6	11.2
X-1823	NSCLC	LEE011	321.4	27	13	105.4	12
X-1823	NSCLC	LEE011	294.7	26.7	20	88.3	10.8
X-1823	NSCLC	LEE011	338.3	26.7	23	116.2	10.8
X-1823	NSCLC	LEE011	334.5	27.7	29	113.7	14.9
X-1823	NSCLC	LEE011	453.2	27.9	34	189.6	15.8
X-1823	NSCLC	LEE011	434.5	28.2	42	177.6	17
X-1823	NSCLC	LEE011	560.6	28.4	48	258.2	17.8
X-1823	NSCLC	LEE011	834.2	28.6	55	433	18.7
X-1823	NSCLC	LGH447	201.3	24.3	0	0	0
X-1823	NSCLC	LGH447	322.1	25.2	5	60	3.7
X-1823	NSCLC	LGH447	412.2	24.5	7	104.8	0.8
X-1823	NSCLC	LGH447	640.5	25.2	11	218.2	3.7
X-1823	NSCLC	LGH447	1232.1	24.4	18	512.1	0.4
X-1823	NSCLC	LLM871	188.2	25.7	0	0	0
X-1823	NSCLC	LLM871	387.2	26.4	7	105.7	2.7
X-1823	NSCLC	LLM871	476.9	26.4	11	153.4	2.7
X-1823	NSCLC	LLM871	956.7	25.6	18	408.3	-0.4
X-1823	NSCLC	binimetinib	288.2	24.2	0	0	0
X-1823	NSCLC	binimetinib	295.4	24.3	2	2.5	0.4
X-1823	NSCLC	binimetinib	495.8	24.9	7	72	2.9
X-1823	NSCLC	binimetinib	595.6	24.7	9	106.7	2.1
X-1823	NSCLC	binimetinib	900.3	25.5	13	212.4	5.4
X-1823	NSCLC	paclitaxel	180.7	26.4	0	0	0
X-1823	NSCLC	paclitaxel	288	26.3	5	59.4	-0.4
X-1823	NSCLC	paclitaxel	324.4	26.8	7	79.5	1.5
X-1823	NSCLC	paclitaxel	354.7	27	11	96.3	2.3
X-1823	NSCLC	paclitaxel	650.9	28.5	18	260.2	8
X-1823	NSCLC	untreated	142	22.8	0	0	0
X-1823	NSCLC	untreated	218.7	23.3	2	54	2.2
X-1823	NSCLC	untreated	265.9	24.2	7	87.3	6.1
X-1823	NSCLC	untreated	371.2	23.7	9	161.4	3.9
X-1823	NSCLC	untreated	552.7	25.2	13	289.2	10.5
X-1823	NSCLC	untreated	331.1	25.8	20	133.2	13.2
X-1823	NSCLC	untreated	0	26.9	42	-100	18
X-1823	NSCLC	untreated	0	28.1	48	-100	23.2
X-1823	NSCLC	untreated	0	27.1	55	-100	18.9
X-1823	NSCLC	untreated	0	26.6	58	-100	16.7
X-1823	NSCLC	untreated	0	27.1	61	-100	18.9
X-1823	NSCLC	untreated	0	28.3	69	-100	24.1
X-1823	NSCLC	untreated	0	28.4	72	-100	24.6
X-1823	NSCLC	untreated	0	29.7	76	-100	30.3
X-1823	NSCLC	untreated	0	29.2	79	-100	28.1
X-1823	NSCLC	untreated	0	35	84	-100	53.5
X-1823	NSCLC	untreated	0	28.5	91	-100	25
X-1823	NSCLC	untreated	0	28.5	97	-100	25
X-1823	NSCLC	untreated	0	28.6	100	-100	25.4
X-1823	NSCLC	LFW527 + binimetinib	241.5	25.7	0	0	0
X-1823	NSCLC	LFW527 + binimetinib	305.28	25	2	26.4	-2.7
X-1823	NSCLC	LFW527 + binimetinib	266.42	25	6	10.3	-2.7
X-1823	NSCLC	LFW527 + binimetinib	312.04	25.1	9	29.2	-2.3
X-1823	NSCLC	LFW527 + binimetinib	399.56	25.1	13	65.4	-2.3
X-1823	NSCLC	LFW527 + binimetinib	345.91	25.1	16	43.2	-2.3
X-1823	NSCLC	LFW527 + binimetinib	518.69	23.8	20	114.8	-7.4
X-1823	NSCLC	LFW527 + binimetinib	563.78	23.5	23	133.4	-8.6
X-1823	NSCLC	LFW527 + binimetinib	504.52	24.1	28	108.9	-6.2
X-1823	NSCLC	LFW527 + binimetinib	495.36	23.9	31	105.1	-7
X-1823	NSCLC	LFW527 + binimetinib	788.67	23	34	226.6	-10.5
X-1823	NSCLC	LFW527 + binimetinib	552.41	22.5	37	128.7	-12.5
X-1823	NSCLC	LFW527 + binimetinib	809.96	22.2	41	235.4	-13.6
X-1823	NSCLC	LFW527 + binimetinib	1034.62	NA	45	328.4	-13.6
X-1828	BRCA	BGJ398	214.2	29.7	0	0	0
X-1828	BRCA	BGJ398	244.5	29.8	2	14.1	0.3
X-1828	BRCA	BGJ398	251.3	28.6	6	17.3	-3.7
X-1828	BRCA	BGJ398	246.7	29.3	9	15.2	-1.3
X-1828	BRCA	BGJ398	251.1	29.6	12	17.2	-0.3
X-1828	BRCA	BGJ398	231.4	29.8	16	8	0.3
X-1828	BRCA	BGJ398	230	29.1	19	7.4	-2
X-1828	BRCA	BGJ398	222.2	28.6	22	3.7	-3.7
X-1828	BRCA	BGJ398	226.9	29.9	26	5.9	0.7
X-1828	BRCA	BGJ398	232.2	27.7	31	8.4	-6.7
X-1828	BRCA	BGJ398	238.8	26.8	33	11.5	-9.8
X-1828	BRCA	BGJ398	262.7	27.3	37	22.6	-8.1
X-1828	BRCA	BGJ398	320.6	26.7	40	49.7	-10.1
X-1828	BRCA	BGJ398	419.4	27	44	95.8	-9.1
X-1828	BRCA	BGJ398	466.7	27.7	47	117.9	-6.7
X-1828	BRCA	BGJ398	484.8	27.4	51	126.3	-7.7
X-1828	BRCA	BGJ398	556	26.9	54	159.6	-9.4
X-1828	BRCA	BGJ398	664	26.5	58	210	-10.8
X-1828	BRCA	BGJ398	736.4	23.6	61	243.8	-20.5
X-1828	BRCA	BGJ398	909	25.8	65	324.4	-13.1
X-1828	BRCA	BKM120	288.7	27	0	0	0
X-1828	BRCA	BKM120	292.7	28.5	3	1.4	5.6
X-1828	BRCA	BKM120	285.3	27.5	7	-1.2	1.9
X-1828	BRCA	BKM120	281.6	28.3	10	-2.5	4.8
X-1828	BRCA	BKM120	286	28	14	-0.9	3.7
X-1828	BRCA	BKM120	288.9	27.6	17	0.1	2.2
X-1828	BRCA	BKM120	298.7	28.6	21	3.5	5.9
X-1828	BRCA	BKM120	322.6	27.5	24	11.7	1.9
X-1828	BRCA	BKM120	341	28	28	18.1	3.7
X-1828	BRCA	BKM120	363.5	27.7	31	25.9	2.6
X-1828	BRCA	BKM120	427.6	27.9	35	48.1	3.3
X-1828	BRCA	BKM120	433.8	28.9	38	50.3	7
X-1828	BRCA	BKM120	438.9	27.4	41	52	1.5
X-1828	BRCA	BKM120	450.9	27.8	45	56.2	3
X-1828	BRCA	BKM120	458.6	25.9	49	58.9	-4.1
X-1828	BRCA	BKM120	366.9	20.3	52	27.1	-24.8
X-1828	BRCA	BYL719 + LJM716	204.6	29.3	0	0	0
X-1828	BRCA	BYL719 + LJM716	199.6	27.5	3	-2.4	-6.1
X-1828	BRCA	BYL719 + LJM716	182	26.2	7	-11	-10.6
X-1828	BRCA	BYL719 + LJM716	171.3	26.6	10	-16.3	-9.2
X-1828	BRCA	BYL719 + LJM716	183.9	26.5	14	-10.1	-9.6
X-1828	BRCA	BYL719 + LJM716	189.2	26.4	17	-7.5	-9.9
X-1828	BRCA	BYL719 + LJM716	189.7	26.2	21	-7.3	-10.6
X-1828	BRCA	BYL719 + LJM716	192.9	25.8	24	-5.7	-11.9
X-1828	BRCA	BYL719 + LJM716	200.6	24.6	28	-2	-16
X-1828	BRCA	BYL719 + LJM716	221.4	25.7	31	8.2	-12.3
X-1828	BRCA	BYL719 + LJM716	333.7	26.6	35	63.1	-9.2
X-1828	BRCA	BYL719 + LJM716	374	27.6	38	82.8	-5.8
X-1828	BRCA	BYL719 + LJM716	420.9	28.4	41	105.7	-3.1
X-1828	BRCA	BYL719 + LJM716	441.8	26.8	45	115.9	-8.5
X-1828	BRCA	BYL719 + LJM716	445	25.1	49	117.5	-14.3
X-1828	BRCA	BYL719 + LJM716	467	25.5	52	128.3	-13
X-1828	BRCA	BYL719 + LJM716	468	24	56	128.7	-18.1
X-1828	BRCA	BYL719 + LJM716	464.9	26.2	59	127.2	-10.6
X-1828	BRCA	BYL719 + LJM716	448.1	26.2	63	119	-10.6
X-1828	BRCA	BYL719 + LJM716	402.8	28	66	96.9	-4.4
X-1828	BRCA	BYL719 + LJM716	270.4	27.7	70	32.2	-5.5
X-1828	BRCA	BYL719 + LJM716	291.9	28.2	73	42.7	-3.8
X-1828	BRCA	BYL719 + LJM716	305.4	28.3	81	49.3	-3.4
X-1828	BRCA	BYL719 + LJM716	333.4	27.3	84	63	-6.8
X-1828	BRCA	BYL719 + LJM716	348.5	28.8	88	70.3	-1.7
X-1828	BRCA	BYL719 + LJM716	364.7	29.3	91	78.3	0
X-1828	BRCA	BYL719 + LJM716	375	28	94	83.3	-4.4
X-1828	BRCA	BYL719 + LJM716	391.8	26.7	98	91.5	-8.9
X-1828	BRCA	BYL719 + LJM716	373	24.9	101	82.3	-15
X-1828	BRCA	BYL719 + LEE011	210.2	32.7	0	0	0
X-1828	BRCA	BYL719 + LEE011	231.4	29.2	8	10.1	-10.7
X-1828	BRCA	BYL719 + LEE011	245.9	25.3	11	17	-22.6
X-1828	BRCA	BYL719 + LEE011	250.7	26.1	15	19.3	-20.2
X-1828	BRCA	BYL719 + LEE011	247.4	26.3	18	17.7	-19.6
X-1828	BRCA	BYL719 + LEE011	258.4	27.8	21	22.9	-15
X-1828	BRCA	BYL719 + LEE011	264.6	31	25	25.9	-5.2
X-1828	BRCA	BYL719 + LEE011	272.2	33.2	28	29.5	1.5
X-1828	BRCA	BYL719 + LEE011	275.1	33.4	31	30.9	2.1
X-1828	BRCA	BYL719 + LEE011	244.8	31.6	35	16.5	-3.4
X-1828	BRCA	BYL719 + LEE011	223.1	24.6	40	6.1	-24.8
X-1828	BRCA	BYL719 + LEE011	165.5	26.1	42	-21.3	-20.2
X-1828	BRCA	BYL719 + LEE011	173.3	24.2	46	-17.6	-26
X-1828	BRCA	BYL719	247	28.6	0	0	0
X-1828	BRCA	BYL719	452.1	27.9	3	83	-2.4
X-1828	BRCA	BYL719	571.5	27.9	7	131.4	-2.4
X-1828	BRCA	BYL719	603.7	27.6	10	144.4	-3.5
X-1828	BRCA	BYL719	543.2	25.3	13	119.9	-11.5
X-1828	BRCA	BYL719	374.1	22.2	17	51.5	-22.4
X-1828	BRCA	BYL719	448.8	22.6	20	81.7	-21
X-1828	BRCA	BYL719	513.1	24.6	25	107.7	-14
X-1828	BRCA	BYL719	590.5	23	28	139.1	-19.6
X-1828	BRCA	BYL719	790.4	23.2	32	220	-18.9
X-1828	BRCA	CGM097	211.8	32.4	0	0	0
X-1828	BRCA	CGM097	236.8	33.2	3	11.8	2.5
X-1828	BRCA	CGM097	260.8	32.3	7	23.1	-0.3
X-1828	BRCA	CGM097	328	33.5	10	54.9	3.4
X-1828	BRCA	CGM097	363.3	34.4	14	71.5	6.2
X-1828	BRCA	CGM097	426.3	34.4	17	101.3	6.2
X-1828	BRCA	CGM097	440.2	35	20	107.8	8
X-1828	BRCA	CGM097	543.6	35.2	24	156.7	8.6
X-1828	BRCA	CGM097	545.3	34.8	28	157.5	7.4
X-1828	BRCA	CGM097	602	33.9	31	184.2	4.6
X-1828	BRCA	CGM097	671	33.3	35	216.8	2.8
X-1828	BRCA	CGM097	676.6	33.1	38	219.5	2.2
X-1828	BRCA	CGM097	710.2	33.9	42	235.3	4.6
X-1828	BRCA	CGM097	721.6	35.5	45	240.7	9.6
X-1828	BRCA	CGM097	751.3	33.1	49	254.7	2.2
X-1828	BRCA	CLR457	221.3	25.4	0	0	0
X-1828	BRCA	CLR457	173.6	26.7	3	-21.6	5.1
X-1828	BRCA	CLR457	177	27.1	6	-20	6.7
X-1828	BRCA	CLR457	135.6	26.5	10	-38.7	4.3
X-1828	BRCA	CLR457	104	27	13	-53	6.3
X-1828	BRCA	CLR457	109.3	27.4	18	-50.6	7.9
X-1828	BRCA	CLR457	106.2	27.2	21	-52	7.1
X-1828	BRCA	CLR457	103.4	27.8	25	-53.3	9.4
X-1828	BRCA	CLR457	103.8	27.4	28	-53.1	7.9
X-1828	BRCA	CLR457	103.4	27.2	32	-53.3	7.1
X-1828	BRCA	CLR457	104.1	26.8	35	-53	5.5
X-1828	BRCA	CLR457	104.8	27	39	-52.6	6.3
X-1828	BRCA	CLR457	104.5	26.2	42	-52.8	3.1
X-1828	BRCA	CLR457	108	26.7	46	-51.2	5.1
X-1828	BRCA	CLR457	109.9	27.6	49	-50.3	8.7
X-1828	BRCA	CLR457	108.6	27.4	53	-50.9	7.9
X-1828	BRCA	CLR457	116.7	27.4	56	-47.3	7.9
X-1828	BRCA	CLR457	126.2	27	59	-43	6.3
X-1828	BRCA	CLR457	133.7	27.5	63	-39.6	8.3
X-1828	BRCA	CLR457	151.1	26.7	67	-31.7	5.1
X-1828	BRCA	CLR457	166.4	24.7	70	-24.8	-2.8
X-1828	BRCA	CLR457	261.2	22.1	74	18	-13
X-1828	BRCA	CLR457	120.1	23.1	77	-45.7	-9.1
X-1828	BRCA	CLR457	0	23	81	-100	-9.4
X-1828	BRCA	HDM201	254.4	26.2	0	0	0
X-1828	BRCA	HDM201	300.3	26.1	3	18	-0.4
X-1828	BRCA	HDM201	304.5	25.6	8	19.7	-2.3
X-1828	BRCA	HDM201	356.8	26.3	11	40.3	0.4
X-1828	BRCA	HDM201	371.9	27.2	15	46.2	3.8
X-1828	BRCA	HDM201	410.9	26.9	18	61.5	2.7
X-1828	BRCA	HDM201	440.8	27	22	73.3	3.1
X-1828	BRCA	HDM201	498.5	26.9	25	96	2.7
X-1828	BRCA	HDM201	615.8	27.4	29	142.1	4.6
X-1828	BRCA	HDM201	689.8	26.6	32	171.1	1.5
X-1828	BRCA	HDM201	889.2	26.7	36	249.5	1.9
X-1828	BRCA	HDM201	991.2	26.5	39	289.6	1.1
X-1828	BRCA	HDM201	1340	25.5	43	426.7	-2.7
X-1828	BRCA	INC424	239.5	27.1	0	0	0
X-1828	BRCA	INC424	293	25.8	3	22.3	-4.8
X-1828	BRCA	INC424	357.2	26.5	7	49.1	-2.2
X-1828	BRCA	INC424	527.7	26.5	10	120.3	-2.2
X-1828	BRCA	INC424	548.1	27.4	13	128.9	1.1
X-1828	BRCA	INC424	726.9	26.6	17	203.5	-1.8
X-1828	BRCA	INC424	845.6	26.6	20	253.1	-1.8
X-1828	BRCA	INC424	835.1	26.8	25	248.7	-1.1
X-1828	BRCA	INC424	867.3	27	28	262.1	-0.4
X-1828	BRCA	INC424	895.3	26.2	32	273.8	-3.3
X-1828	BRCA	LEE011 + everolimus	226.3	30.3	0	0	0
X-1828	BRCA	LEE011 + everolimus	239.2	30.3	4	5.7	0
X-1828	BRCA	LEE011 + everolimus	256.7	28.8	7	13.4	-5
X-1828	BRCA	LEE011 + everolimus	296.5	28.1	11	31	-7.3
X-1828	BRCA	LEE011 + everolimus	315.7	28	14	39.5	-7.6
X-1828	BRCA	LEE011 + everolimus	327.6	26.8	18	44.8	-11.6
X-1828	BRCA	LEE011 + everolimus	351.2	26.9	21	55.2	-11.2
X-1828	BRCA	LEE011 + everolimus	371.2	27.3	29	64	-9.9
X-1828	BRCA	LEE011 + everolimus	384	26.4	32	69.7	-12.9
X-1828	BRCA	LEE011 + everolimus	326.8	25.9	36	44.4	-14.5
X-1828	BRCA	LEE011 + everolimus	336.2	25.9	39	48.6	-14.5
X-1828	BRCA	LEE011 + everolimus	309.8	22.8	42	36.9	-24.8
X-1828	BRCA	LEE011	237.2	32.2	0	0	0
X-1828	BRCA	LEE011	244.5	32.2	3	3.1	0
X-1828	BRCA	LEE011	262.5	31.5	7	10.7	-2.2
X-1828	BRCA	LEE011	274.6	31.4	11	15.8	-2.5
X-1828	BRCA	LEE011	306.9	31.1	14	29.4	-3.4
X-1828	BRCA	LEE011	329.8	32.7	18	39	1.6
X-1828	BRCA	LEE011	338.9	33.3	21	42.9	3.4
X-1828	BRCA	LEE011	345.8	33.1	25	45.8	2.8
X-1828	BRCA	LEE011	371.5	34.4	28	56.6	6.8
X-1828	BRCA	LEE011	416.1	33.7	32	75.4	4.7
X-1828	BRCA	LEE011	446.9	33.5	35	88.4	4
X-1828	BRCA	LEE011	512.9	33.5	43	116.2	4
X-1828	BRCA	LEE011	546.4	33.7	46	130.4	4.7
X-1828	BRCA	LEE011	585.5	33.7	50	146.8	4.7
X-1828	BRCA	LEE011	682	34.8	53	187.5	8.1
X-1828	BRCA	LEE011	687.5	33.8	56	189.8	5
X-1828	BRCA	LEE011	712.6	33.5	60	200.4	4
X-1828	BRCA	LFA102	205.4	27.7	0	0	0
X-1828	BRCA	LFA102	224.9	27	3	9.5	-2.5
X-1828	BRCA	LFA102	272.3	27.1	7	32.6	-2.2
X-1828	BRCA	LFA102	289.1	27.2	10	40.7	-1.8
X-1828	BRCA	LFA102	295.8	28.3	14	44	2.2
X-1828	BRCA	LFA102	358.7	27.5	17	74.6	-0.7
X-1828	BRCA	LFA102	404.6	27.9	21	97	0.7
X-1828	BRCA	LFA102	447.4	27.4	24	117.8	-1.1
X-1828	BRCA	LFA102	487.3	27.5	28	137.2	-0.7
X-1828	BRCA	LJM716	202.9	28.4	0	0	0
X-1828	BRCA	LJM716	205.2	26.8	3	1.1	-5.6
X-1828	BRCA	LJM716	207.5	25.5	7	2.3	-10.2
X-1828	BRCA	LJM716	214.9	25.3	10	5.9	-10.9
X-1828	BRCA	LJM716 + trastuzumab	247.9	32.1	0	0	0
X-1828	BRCA	LJM716 + trastuzumab	251.8	30.3	3	1.6	-5.6
X-1828	BRCA	LJM716 + trastuzumab	273.8	28.6	6	10.4	-10.9
X-1828	BRCA	LJM716 + trastuzumab	282.2	31	15	13.8	-3.4
X-1828	BRCA	LJM716 + trastuzumab	319.4	30.9	17	28.8	-3.7
X-1828	BRCA	LJM716 + trastuzumab	350.2	31.8	21	41.3	-0.9
X-1828	BRCA	LJM716 + trastuzumab	390.9	31.6	24	57.7	-1.6
